activity;birth_year;budget;drink_level;marital_status;Rcuisine;smoker;transport;Upayment;userID;weight
student;1990;low;casual drinker;single;Mexican;false;public;cash;U1053;66
student;1990;low;casual drinker;single;Mexican;true;public;cash;U1029;58
student;1990;low;casual drinker;single;Mexican;true;public;cash;U1089;54
student;1990;medium;abstemious;single;Mexican;false;public;cash;U1096;40
student;1990;medium;abstemious;single;Mexican;false;public;cash;U1097;58
student;1990;medium;casual drinker;single;Burgers;false;public;cash;U1113;75
student;1990;medium;casual drinker;single;Burgers;false;public;VISA;U1113;75
student;1990;medium;casual drinker;single;Japanese;true;car owner;American_Express;U1093;80
student;1990;medium;casual drinker;single;Japanese;true;car owner;VISA;U1093;80
student;1990;medium;casual drinker;single;Mexican;false;car owner;cash;U1022;46
student;1990;medium;social drinker;single;Mexican;false;public;;U1025;65
student;1990;medium;casual drinker;single;Mexican;false;public;cash;U1034;50
student;1991;low;casual drinker;single;Mexican;false;public;cash;U1081;52
student;1991;low;abstemious;single;Cuban;false;public;cash;U1058;74
student;1991;low;social drinker;single;Mexican;false;on foot;cash;U1033;54
student;1991;medium;casual drinker;single;Mexican;false;on foot;cash;U1030;64
student;1991;medium;casual drinker;single;Mexican;false;public;cash;U1134;52
student;1991;medium;casual drinker;single;American;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Burgers;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Cafe-Coffee_Shop;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Cafeteria;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Fast_Food;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Hot_Dogs;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Italian;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Juice;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Mexican;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Pizzeria;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Soup;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Spanish;false;public;cash;U1060;82
student;1991;medium;casual drinker;single;Tex-Mex;false;public;cash;U1060;82
student;1991;medium;social drinker;single;Mexican;false;on foot;;U1088;62
student;1991;medium;social drinker;single;Mexican;false;public;cash;U1036;76
student;1991;medium;abstemious;single;Mexican;false;on foot;cash;U1114;58
student;1991;medium;social drinker;single;Italian;true;car owner;cash;U1104;75
student;1991;medium;social drinker;single;Italian;true;car owner;VISA;U1104;75
student;1991;medium;abstemious;single;Cafe-Coffee_Shop;false;on foot;cash;U1009;75
student;1991;medium;abstemious;single;Cafeteria;false;on foot;cash;U1009;75
student;1991;medium;abstemious;single;Deli-Sandwiches;false;on foot;cash;U1009;75
student;1991;medium;abstemious;single;Diner;false;on foot;cash;U1009;75
student;1991;medium;abstemious;single;Family;false;on foot;cash;U1009;75
student;1991;medium;abstemious;single;Fast_Food;false;on foot;cash;U1009;75
student;1991;medium;abstemious;single;Mexican;false;on foot;cash;U1009;75
student;1991;medium;social drinker;single;Cafeteria;false;public;cash;U1105;40
student;1991;medium;social drinker;single;Mexican;false;public;cash;U1098;68
student;1991;medium;abstemious;single;Mexican;false;car owner;bank_debit_cards;U1133;60
student;1991;medium;abstemious;single;Mexican;false;car owner;cash;U1133;60
student;1991;medium;casual drinker;single;Mexican;true;public;cash;U1084;65
student;1991;medium;social drinker;single;Italian;false;car owner;bank_debit_cards;U1086;49
student;1991;medium;social drinker;single;Italian;false;car owner;cash;U1086;49
student;1991;medium;social drinker;single;Italian;false;car owner;VISA;U1086;49
student;1991;medium;casual drinker;single;Mexican;false;car owner;cash;U1075;68
student;1992;medium;abstemious;single;American;false;public;cash;U1005;65
student;1992;medium;abstemious;single;Mexican;false;public;cash;U1119;68
student;1992;medium;social drinker;single;Mexican;false;public;cash;U1054;59
student;1992;medium;abstemious;single;American;false;public;cash;U1047;60
student;1993;medium;abstemious;single;Mexican;false;car owner;cash;U1110;85
student;1930;high;abstemious;single;Mexican;false;car owner;cash;U1071;40
student;1930;low;abstemious;single;Mexican;false;public;cash;U1120;47
student;1985;medium;casual drinker;single;Family;true;car owner;cash;U1035;69
student;1985;medium;casual drinker;single;Family;true;car owner;VISA;U1035;69
student;1985;medium;casual drinker;single;Mexican;false;car owner;cash;U1062;88
student;1985;medium;casual drinker;single;Mexican;false;car owner;VISA;U1062;88
student;1986;low;casual drinker;single;Cafeteria;false;public;cash;U1128;66
student;1986;low;casual drinker;single;Hot_Dogs;false;public;cash;U1128;66
student;1986;low;casual drinker;single;Mexican;false;public;cash;U1128;66
student;1986;low;casual drinker;single;Pizzeria;false;public;cash;U1128;66
student;1987;low;social drinker;single;Mexican;true;car owner;cash;U1080;80
student;1987;medium;casual drinker;single;Pizzeria;true;public;cash;U1118;60
student;1987;medium;abstemious;single;Mexican;false;on foot;cash;U1059;57
student;1987;medium;social drinker;married;Mexican;false;car owner;cash;U1010;40
student;1988;low;casual drinker;single;Mexican;false;public;cash;U1068;72
student;1988;low;casual drinker;single;Mexican;false;car owner;cash;U1023;103
student;1988;low;casual drinker;single;Afghan;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Australian;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Bar;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Burgers;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Cafe-Coffee_Shop;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Cafeteria;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Chinese;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Contemporary;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Diner;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Doughnuts;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Family;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Hot_Dogs;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Italian;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Latin_American;false;car owner;cash;U1101;50
student;1988;low;casual drinker;single;Mexican;false;car owner;cash;U1101;50
student;1988;medium;social drinker;single;Tex-Mex;false;car owner;cash;U1090;50
student;1989;low;social drinker;single;Pizzeria;false;on foot;cash;U1102;90
student;1989;low;casual drinker;single;Mexican;true;public;cash;U1018;65
student;1989;low;casual drinker;single;Mexican;false;public;cash;U1129;69
student;1989;medium;abstemious;single;Mexican;true;public;cash;U1082;63
student;1989;medium;social drinker;single;Mexican;true;car owner;cash;U1006;75
student;1989;medium;abstemious;single;Mexican;false;public;cash;U1065;55
student;1989;medium;casual drinker;single;American;true;public;cash;U1057;69
student;1989;medium;casual drinker;single;American;true;public;VISA;U1057;69
student;1989;medium;social drinker;single;Regional;false;;cash;U1039;83
student;1990;low;social drinker;single;Mexican;true;car owner;cash;U1136;50
student;1990;low;social drinker;single;Regional;true;public;cash;U1115;76
student;1990;low;casual drinker;single;Mexican;false;on foot;cash;U1126;65
student;1990;low;casual drinker;single;Mexican;false;public;cash;U1125;57
student;1990;medium;casual drinker;single;Mexican;false;public;cash;U1100;40
student;1990;medium;social drinker;married;Mexican;true;car owner;cash;U1131;90
student;1990;medium;social drinker;single;Bar;false;car owner;cash;U1046;82
student;1990;medium;abstemious;single;Fast_Food;false;public;cash;U1014;53
student;1990;medium;abstemious;single;Japanese;false;public;cash;U1014;53
student;1991;high;casual drinker;single;Mexican;false;car owner;cash;U1045;68
student;1991;high;casual drinker;single;Middle_Eastern;false;car owner;cash;U1045;68
student;1991;high;casual drinker;single;Mongolian;false;car owner;cash;U1045;68
student;1991;high;casual drinker;single;Moroccan;false;car owner;cash;U1045;68
student;1991;low;casual drinker;single;Mexican;false;public;cash;U1124;51
student;1991;low;casual drinker;single;Mexican;false;public;cash;U1070;47
student;1991;medium;social drinker;single;Pizzeria;false;public;cash;U1138;54
student;1991;medium;abstemious;single;Mexican;false;public;cash;U1094;59
student;1991;medium;casual drinker;single;American;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Barbecue;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Cafe-Coffee_Shop;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Contemporary;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Eastern_European;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Fusion;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Indian-Pakistani;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Japanese;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Lebanese;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Moroccan;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Polish;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Polynesian;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Portuguese;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Regional;false;on foot;cash;U1016;70
student;1991;medium;casual drinker;single;Mexican;true;car owner;cash;U1111;69
student;1991;medium;casual drinker;single;Mexican;true;car owner;cash;U1112;69
student;1994;medium;abstemious;single;Pizzeria;false;public;cash;U1040;73
student;1983;medium;abstemious;single;American;false;public;cash;U1108;76
student;1983;medium;abstemious;single;American;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;American;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Asian;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Asian;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Asian;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Burgers;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Burgers;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Burgers;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Cafe-Coffee_Shop;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Cafe-Coffee_Shop;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Cafe-Coffee_Shop;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Cafeteria;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Cafeteria;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Cafeteria;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Chinese;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Chinese;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Chinese;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Deli-Sandwiches;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Deli-Sandwiches;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Deli-Sandwiches;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Dessert-Ice_Cream;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Dessert-Ice_Cream;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Dessert-Ice_Cream;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Family;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Family;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Family;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Fast_Food;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Fast_Food;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Fast_Food;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Game;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Game;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Game;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Hot_Dogs;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Hot_Dogs;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Hot_Dogs;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Japanese;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Japanese;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Japanese;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Latin_American;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Latin_American;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Latin_American;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Mexican;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Mexican;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Mexican;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Pizzeria;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Pizzeria;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Pizzeria;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Seafood;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Seafood;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Seafood;false;public;VISA;U1108;76
student;1983;medium;abstemious;single;Sushi;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Sushi;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Sushi;false;public;VISA;U1108;76
student;1986;low;abstemious;single;Mexican;false;public;bank_debit_cards;U1066;45
student;1986;low;abstemious;single;Mexican;false;public;cash;U1066;45
student;1988;;abstemious;single;Mexican;false;car owner;cash;U1085;84
student;1989;low;abstemious;single;Mexican;false;public;cash;U1109;57
student;1989;low;social drinker;single;American;false;public;cash;U1008;68
student;1989;low;social drinker;single;Cafe-Coffee_Shop;false;public;cash;U1008;68
student;1989;low;social drinker;single;Cafeteria;false;public;cash;U1008;68
student;1989;low;social drinker;single;Hawaiian;false;public;cash;U1008;68
student;1989;low;social drinker;single;Hot_Dogs;false;public;cash;U1008;68
student;1989;low;social drinker;single;Italian;false;public;cash;U1008;68
student;1989;low;social drinker;single;Juice;false;public;cash;U1008;68
student;1989;low;social drinker;single;Korean;false;public;cash;U1008;68
student;1989;low;social drinker;single;Latin_American;false;public;cash;U1008;68
student;1989;low;social drinker;single;Mexican;false;public;cash;U1008;68
student;1989;low;casual drinker;single;Family;false;public;cash;U1007;60
student;1989;medium;abstemious;single;Chinese;false;public;cash;U1087;53
student;1989;medium;abstemious;single;Latin_American;false;public;cash;U1043;60
student;1991;;casual drinker;single;Mexican;false;public;cash;U1049;55
student;1991;;casual drinker;single;Mexican;false;public;cash;U1132;55
student;1991;medium;casual drinker;single;Mexican;false;public;cash;U1064;94
student;1992;low;abstemious;single;Mexican;false;public;cash;U1127;65
unemployed;1989;medium;abstemious;widow;American;false;car owner;cash;U1073;118
unemployed;1992;medium;abstemious;married;Mexican;false;;American_Express;U1031;40
unemployed;1992;medium;abstemious;married;Mexican;false;;cash;U1031;40
working-class;1987;medium;social drinker;married;Mexican;false;public;bank_debit_cards;U1121;90
working-class;1987;medium;social drinker;married;Mexican;false;public;cash;U1121;90
